dates,distance,parcel_size,parcel_weights,traffic_levels,weather_conditions,sequence_in_delivery,delivery_time_window
2024-05-08,38.08,small,3.33,low,foggy,43.0,morning
2023-12-01,95.12,medium,0.68,low,rainy,12.0,morning
2023-11-03,73.47,medium,45.4,high,sunny,64.0,afternoon
2023-11-18,60.27,medium,28.64,low,sunny,2.0,morning
2024-03-21,16.45,small,9.34,high,snowy,66.0,evening
2023-11-04,16.44,large,35.38,medium,rainy,39.0,morning
2024-07-31,6.75,small,35.51,medium,snowy,27.0,afternoon
2024-02-21,86.75,small,45.78,low,foggy,58.0,afternoon
2024-06-02,60.51,medium,38.46,low,foggy,59.0,morning
2024-03-10,71.1,medium,42.02,high,sunny,20.0,morning
2024-07-04,3.04,small,41.85,medium,sunny,28.0,afternoon
2024-06-15,97.02,large,15.04,low,sunny,53.0,morning
2024-07-28,83.41,large,26.33,low,sunny,49.0,morning
2023-11-04,22.02,medium,2.25,high,sunny,11.0,morning
2023-11-17,19.0,large,2.62,medium,rainy,58.0,afternoon
2024-08-10,19.16,large,44.12,low,snowy,60.0,afternoon
2023-09-23,31.12,large,3.03,medium,rainy,71.0,afternoon
2024-09-12,52.95,small,27.67,high,sunny,52.0,afternoon
2024-05-29,43.76,small,46.47,medium,sunny,38.0,morning
2023-12-24,29.83,medium,10.67,low,sunny,61.0,morning
2024-09-17,61.57,large,22.41,low,sunny,39.0,morning
2023-12-27,14.81,medium,32.56,low,foggy,12.0,morning
2023-11-19,29.92,small,28.31,medium,sunny,40.0,morning
2024-01-11,37.27,medium,18.5,medium,sunny,46.0,morning
2024-07-28,46.15,small,39.49,low,rainy,40.0,morning
2023-12-10,78.73,small,20.77,low,sunny,74.0,morning
2023-10-24,20.77,medium,19.61,medium,snowy,29.0,afternoon
2024-06-24,51.91,large,1.57,low,rainy,49.0,afternoon
2023-11-06,59.65,medium,43.3,low,sunny,17.0,morning
2024-02-06,5.6,large,49.97,low,sunny,48.0,morning
2024-01-28,61.15,medium,37.29,medium,rainy,25.0,morning
2024-02-09,17.88,medium,48.56,high,foggy,2.0,afternoon
2023-12-30,7.44,medium,25.03,medium,rainy,41.0,morning
2024-01-09,94.94,small,29.29,low,foggy,36.0,afternoon
2024-02-27,96.6,medium,44.29,low,rainy,18.0,morning
2023-10-26,81.03,small,26.44,medium,foggy,3.0,morning
2023-12-31,31.16,small,4.04,low,sunny,45.0,morning
2024-06-21,10.67,small,37.05,high,foggy,2.0,morning
2024-01-24,68.74,medium,7.38,low,rainy,98.0,afternoon
2024-02-19,44.58,medium,17.48,low,foggy,85.0,afternoon
2024-03-05,13.08,medium,42.3,low,sunny,25.0,morning
2024-08-25,50.02,medium,14.24,low,rainy,42.0,morning
2024-06-14,4.4,small,46.76,low,sunny,16.0,morning
2024-05-29,91.02,large,40.85,low,rainy,41.0,afternoon
2023-10-16,26.62,large,48.42,low,sunny,54.0,morning
2024-08-23,66.59,small,5.69,low,sunny,72.0,afternoon
2024-06-19,31.86,small,15.09,medium,rainy,53.0,afternoon
2024-06-23,52.49,large,39.66,low,sunny,77.0,morning
2024-02-26,55.12,large,33.84,low,sunny,88.0,afternoon
2023-10-06,19.3,large,38.31,low,sunny,96.0,afternoon
2024-08-13,96.99,large,43.69,medium,snowy,79.0,evening
2023-12-16,77.74,large,13.98,high,rainy,39.0,afternoon
2024-09-18,94.01,medium,48.63,medium,sunny,45.0,afternoon
2024-05-05,89.59,large,38.09,medium,rainy,12.0,morning
2024-08-21,60.19,medium,47.42,low,sunny,92.0,afternoon
2024-01-19,92.27,medium,5.89,low,sunny,59.0,morning
2024-09-14,9.76,small,28.12,medium,rainy,92.0,afternoon
2024-08-17,20.4,small,40.91,high,sunny,79.0,afternoon
2024-03-19,5.48,large,4.92,low,rainy,93.0,afternoon
2023-12-28,33.21,small,24.53,low,foggy,86.0,afternoon
2024-07-05,39.48,large,39.99,low,rainy,44.0,morning
2024-04-22,27.86,small,2.95,low,sunny,89.0,afternoon
2024-06-26,83.05,small,36.02,medium,sunny,84.0,afternoon
2024-03-08,36.32,large,48.44,high,snowy,56.0,afternoon
2024-05-04,28.81,small,3.28,medium,sunny,75.0,afternoon
2024-03-05,54.73,large,45.94,high,rainy,50.0,afternoon
2024-06-25,14.95,small,21.25,medium,rainy,81.0,afternoon
2023-10-12,80.42,large,1.7,low,sunny,4.0,morning
2024-08-20,8.38,medium,17.73,high,sunny,57.0,afternoon
2024-07-22,98.7,large,15.55,low,sunny,48.0,afternoon
2024-08-04,77.45,small,12.82,medium,sunny,80.0,afternoon
2024-03-12,20.67,medium,41.52,high,sunny,55.0,afternoon
2024-04-26,1.55,medium,22.89,low,rainy,10.0,morning
2024-08-02,81.73,large,15.75,low,sunny,38.0,morning
2024-01-03,70.98,large,15.85,low,snowy,74.0,evening
2023-12-13,73.17,medium,49.61,medium,sunny,29.0,morning
